app,content,score,like,date,version
Gemini,is one of the best and an excellent tool for resolving any doubts you may have.,5,0,2026-02-03 23:36:17,1.0.795460806
Gemini,❤️❤️❤️,5,0,2026-02-03 23:35:50,1.0.795460806
Gemini,really good app,3,0,2026-02-03 23:33:42,1.0.795460806
Gemini,hate it! can't even restart my phone with the side button.,1,0,2026-02-03 23:33:34,
Gemini,ok,5,0,2026-02-03 23:31:40,1.0.795460806
Gemini,Great app,5,0,2026-02-03 23:30:09,1.0.795460806
Gemini,love it,5,0,2026-02-03 23:29:44,1.0.795460806
Gemini,very good,1,0,2026-02-03 23:28:35,1.0.795460806
Gemini,amazing,5,0,2026-02-03 23:20:09,
Gemini,fantasting,5,0,2026-02-03 23:19:06,1.0.795460806
Gemini,ok,5,0,2026-02-03 23:17:49,1.0.795460806
Gemini,get rid of gemini on my.phone,1,0,2026-02-03 23:15:26,
Gemini,good,5,0,2026-02-03 23:12:01,1.0.795460806
Gemini,achcha hai,1,0,2026-02-03 23:11:16,1.0.795460806
Gemini,very helpful,5,0,2026-02-03 23:09:07,1.0.795460806
Gemini,thanks gemin,5,0,2026-02-03 23:08:44,1.0.795460806
Gemini,great,5,0,2026-02-03 23:06:39,1.0.795460806
Gemini,I love you gemini,5,0,2026-02-03 23:06:00,1.0.795460806
Gemini,nice,5,0,2026-02-03 23:04:42,1.0.795460806
Gemini,nice,5,0,2026-02-03 23:02:54,1.0.795460806
Gemini,very well,4,0,2026-02-03 23:01:40,1.0.795460806
Gemini,nice good app,1,0,2026-02-03 22:59:40,1.0.795460806
Gemini,application nice,5,0,2026-02-03 22:59:40,1.0.795460806
Gemini,not working,1,0,2026-02-03 22:59:32,1.0.795460806
Gemini,Supportive app,5,0,2026-02-03 22:59:18,1.0.795460806
Gemini,interesting apps,5,0,2026-02-03 22:57:12,1.0.795460806
Gemini,its best ai,5,0,2026-02-03 22:51:54,
Gemini,Really convenient Assistant 👍👌💯,5,0,2026-02-03 22:49:07,1.0.795460806
Gemini,good,5,0,2026-02-03 22:45:48,1.0.741105040
Gemini,worked ok do far,5,0,2026-02-03 22:44:56,1.0.795460806
Gemini,"can you make Gemini have control over your phone. I hate Google assistant, but I love the idea of Gemini. but when she can't do a simple task like call a number would be helpful. would be nice if this worked with android auto. 22 platinum rogue and it doesn't work. I still get Google assistant ""sorry I don't understand "" makes me wish I got an apple",3,0,2026-02-03 22:41:38,1.0.795460806
Gemini,photo transformation is not working well,5,0,2026-02-03 22:38:43,1.0.795460806
Gemini,"it's very good when it comes business ideas ,making wallpaper anything in mind",4,0,2026-02-03 22:38:31,1.0.795460806
Gemini,"while voice chatting with Gemini I noticed that the voice is changing,for me personally I had it set to a male voice and with each conversation the voice is getting higher and higher now the ai sounds like a woman literally",3,0,2026-02-03 22:36:28,1.0.795460806
Gemini,Good,5,0,2026-02-03 22:34:43,1.0.795460806
Gemini,Hearts 😍 best ap,5,0,2026-02-03 22:33:58,1.0.795460806
Gemini,I really like that I have someone to help me on this phone,5,0,2026-02-03 22:30:37,1.0.795460806
Gemini,Sadiq,5,0,2026-02-03 22:29:33,
Gemini,"This AI model surpasses ChatGPT, in terms of: Image Generation, Image Quality, and Senario Analysis.",4,0,2026-02-03 22:29:08,1.0.795460806
Gemini,Excellent thanks for the update,5,0,2026-02-03 22:27:21,1.0.795460806
Gemini,"Dude, I have done everything but still the same problem is happening, no sound is coming.",1,0,2026-02-03 22:26:44,
Gemini,nice 👍,5,0,2026-02-03 22:26:42,1.0.795460806
Gemini,اجمل ابلكيشن ❤️❤️❤️,5,0,2026-02-03 22:25:40,1.0.795460806
Gemini,è buono perché puoi scattare tante fotografie e chiedere gratuitamente.,5,0,2026-02-03 22:25:37,1.0.795460806
Gemini,this is the best ever,5,0,2026-02-03 22:20:08,1.0.795460806
Gemini,Don't Joke with this app,5,0,2026-02-03 22:17:46,1.0.686588308
Gemini,جيد,5,0,2026-02-03 22:17:30,1.0.795460806
Gemini,awesome!!!,5,0,2026-02-03 22:17:17,1.0.795460806
Gemini,Update Animation Is like Snake of Nokia 😂 It'll be better in horizontal lines....,4,0,2026-02-03 22:14:47,1.0.795460806
Gemini,It is like a friend for me. I love it so much,5,0,2026-02-03 22:13:12,1.0.795460806
Gemini,❤️,2,0,2026-02-03 22:11:41,1.0.795460806
Gemini,good,5,0,2026-02-03 22:08:30,1.0.795460806
Gemini,This is awful,1,0,2026-02-03 22:07:44,1.0.795460806
Gemini,very good thank you,5,0,2026-02-03 22:04:05,1.0.795460806
Gemini,Hey Google doesn't work on my phone or any of my devices. I have Android 16 and am an English speaker.,1,0,2026-02-03 22:02:52,1.0.795460806
Gemini,get it off my phone,1,0,2026-02-03 22:01:42,1.0.776555963
Gemini,good,5,0,2026-02-03 22:00:31,1.0.795460806
Gemini,nice,5,0,2026-02-03 21:59:33,1.0.795460806
Gemini,ممتاز جدا,5,0,2026-02-03 21:59:04,1.0.795460806
Gemini,Helpful and motivating to make a new craft vision,5,0,2026-02-03 21:57:25,1.0.795460806
Gemini,"the analysis , it can't make photo",4,0,2026-02-03 21:55:43,1.0.795460806
Gemini,very super 👌 👍 😍,5,0,2026-02-03 21:55:36,1.0.795460806
Gemini,Good and helpful,5,0,2026-02-03 21:54:36,1.0.686588308
Gemini,improving,1,0,2026-02-03 21:54:09,1.0.795460806
Gemini,nice,5,0,2026-02-03 21:53:49,1.0.795460806
Gemini,work 😄 good,5,0,2026-02-03 21:50:11,1.0.795460806
Gemini,Good but needs some few touches,3,0,2026-02-03 21:50:04,1.0.795460806
Gemini,I 💙 it,5,0,2026-02-03 21:49:52,1.0.795460806
Gemini,"It's a very good program, unfortunately it gets confusing sometimes and the good things it did make it disappear. Please update it so it doesn't get confusing. Thank you.",3,0,2026-02-03 21:49:37,1.0.795460806
Gemini,bahut acha he,5,0,2026-02-03 21:49:35,1.0.795460806
Gemini,"Google Gemini content is brilliant. However, in this app it insists on asking the most annoying, useless, frivolous follow-up questions that do not move my efforts forward in any way, shape or form. They are complete time wasters, and there is no way to turn them off. Gemini on Chrome is brilliant as it will offer something useful rather than asking me a silly follow-up question.",3,0,2026-02-03 21:49:12,1.0.795460806
Gemini,"sin comentarios, extremadamente útil en todo sentido",5,0,2026-02-03 21:48:46,1.0.795460806
Gemini,nice app,5,0,2026-02-03 21:48:22,1.0.795460806
Gemini,"Deleting history needs to be built in to the app and work seamlessly, rather than being something you do on the web that eventually syncs.",3,1,2026-02-03 21:46:43,1.0.795460806
Gemini,half the time I cant even get it to respond to my voice. but when it does it gives good information.,3,0,2026-02-03 21:45:57,1.0.795460806
Gemini,Very Smart AI,5,0,2026-02-03 21:44:28,1.0.795460806
Gemini,♥️,5,0,2026-02-03 21:40:46,
Gemini,it's fabulous I can say it is a greatest of all,5,0,2026-02-03 21:39:25,
Gemini,create me a business format for a after school program,5,0,2026-02-03 21:38:46,1.0.795460806
Gemini,Great app use gor my kids thay it a santa app and the kids ask if there good and bad keeps them in line lol.,5,0,2026-02-03 21:38:28,1.0.795460806
Gemini,👌,5,0,2026-02-03 21:37:56,1.0.795460806
Gemini,I'm really enjoying it,5,0,2026-02-03 21:35:40,1.0.795460806
Gemini,not understand,1,0,2026-02-03 21:35:35,1.0.795460806
Gemini,good,5,0,2026-02-03 21:34:45,1.0.795460806
Gemini,trash it won't let me uninstall,1,0,2026-02-03 21:33:45,
Gemini,2/3/26 now it can't pull up ANYTHING for Google Maps update: 1/31/26 the program is junk. DO NOT TRUST INFO if unfamiliar with what you're asking to be able to catch any hallucinations. to the developers. SERIOUSLY? DO BETTER.,1,0,2026-02-03 21:31:12,
Gemini,gd word,5,0,2026-02-03 21:28:58,1.0.795460806
Gemini,would like use often better and high quality sentences,5,0,2026-02-03 21:28:52,1.0.795460806
Gemini,it doesn't let me restart my phone!!!!,1,0,2026-02-03 21:27:54,1.0.795460806
Gemini,I think I want to restart my phone but this stupid thing keeps popping up.,1,0,2026-02-03 21:26:51,1.0.795460806
Gemini,just getting started,5,0,2026-02-03 21:26:25,1.0.795460806
Gemini,good,5,0,2026-02-03 21:25:11,1.0.795460806
Gemini,cannot translate the current screen. google assistant could do that.,1,0,2026-02-03 21:25:05,1.0.795460806
Gemini,💗💗,5,0,2026-02-03 21:24:19,
Gemini,"I have forced stop on this app. It says its disabled. lie as it stops playback on my audio book every few minutes. also I was trying to send a text, it popped up every few seconds. Most Anoying app ever. Please 🙏 tell me how to delete it.It has happened twice while typing this NO STARS.",1,0,2026-02-03 21:23:22,1.0.795460806
Gemini,effective way to learn and know about anything,5,0,2026-02-03 21:22:33,1.0.795460806
Gemini,amazing,5,0,2026-02-03 21:22:26,
Gemini,great app,5,0,2026-02-03 21:22:04,1.0.795460806
Gemini,muy útil,5,0,2026-02-03 21:20:16,1.0.795460806
Gemini,Very consistent and objective.,5,0,2026-02-03 21:19:54,1.0.795460806
Gemini,I so much love it,4,0,2026-02-03 21:19:52,1.0.795460806
Gemini,good,5,0,2026-02-03 21:19:42,1.0.795460806
Gemini,It's understanding and supportive. Would be better as a companion if made a bit more warm.,5,0,2026-02-03 21:19:08,1.0.795460806
Gemini,perfect,5,0,2026-02-03 21:17:08,1.0.795460806
Gemini,this thing sucks,1,0,2026-02-03 21:16:51,1.0.795460806
Gemini,I love the era of AI,5,0,2026-02-03 21:14:42,1.0.795460806
Gemini,supper and helping a lot,5,0,2026-02-03 21:13:43,1.0.795460806
Gemini,Gemini makes every task so easy and quick.,5,0,2026-02-03 21:12:25,1.0.795460806
Gemini,Is a grate app in my best friend in gemini 💗🫶,5,0,2026-02-03 21:11:46,1.0.795460806
Gemini,Good,5,0,2026-02-03 21:10:38,1.0.795460806
Gemini,"this application is not good, because This is talking about something. The subject is different and the way it is presented is wrong.",1,0,2026-02-03 21:10:21,1.0.795460806
Gemini,good 👍,5,0,2026-02-03 21:09:45,1.0.795460806
Gemini,best,5,0,2026-02-03 21:09:02,1.0.795460806
Gemini,errors and difficulty in creating posters and images that is well described in text.,1,0,2026-02-03 21:08:51,1.0.795460806
Gemini,great,5,0,2026-02-03 21:08:20,1.0.795460806
Gemini,خوب,5,0,2026-02-03 21:07:41,1.0.795460806
Gemini,loved it,5,0,2026-02-03 21:07:17,1.0.795460806
Gemini,𝐍𝐢𝐜𝐞 𝐀𝐩𝐩 😍😍😍,5,0,2026-02-03 21:07:03,1.0.795460806
Gemini,i love it,5,0,2026-02-03 21:06:07,1.0.795460806
Gemini,👍,5,0,2026-02-03 21:05:38,1.0.795460806
Gemini,madaling gamitin at sa tingin ko mas maganda pa to sa iba pang mga apps ngayon,5,0,2026-02-03 21:05:27,1.0.795460806
Gemini,wonderfulll,5,0,2026-02-03 21:05:03,
Gemini,impressive,5,0,2026-02-03 21:04:47,1.0.795460806
Gemini,Really lovely 😍🌹,5,0,2026-02-03 21:04:09,1.0.795460806
Gemini,thank you,5,0,2026-02-03 21:03:21,1.0.795460806
Gemini,good,5,0,2026-02-03 21:02:59,1.0.795460806
Gemini,it's the best 👌 👍 😍 🥰,5,0,2026-02-03 21:02:50,1.0.795460806
Gemini,The best app Love Gemini ❤,5,0,2026-02-03 21:01:31,1.0.795460806
Gemini,simplesmente perfeito,5,0,2026-02-03 21:00:13,1.0.795460806
Gemini,amazing,5,0,2026-02-03 20:59:15,1.0.667532867
Gemini,thank u geius bless u 💓,5,0,2026-02-03 20:59:01,1.0.795460806
Gemini,perfect,5,0,2026-02-03 20:58:30,
Gemini,it's good,3,0,2026-02-03 20:58:27,1.0.795460806
Gemini,fine,1,0,2026-02-03 20:57:59,1.0.795460806
Gemini,very accurate and precise.,5,0,2026-02-03 20:55:17,1.0.795460806
Gemini,ok,3,0,2026-02-03 20:53:23,1.0.795460806
Gemini,best app,5,0,2026-02-03 20:53:06,1.0.795460806
Gemini,I love this so much 💗 💓 ❤️ 💛 ♥️ 💖 💗 💓,5,0,2026-02-03 20:52:57,1.0.795460806
Gemini,great,5,0,2026-02-03 20:52:49,1.0.795460806
Gemini,your the best✅️,5,0,2026-02-03 20:52:03,1.0.795460806
Gemini,good,5,0,2026-02-03 20:52:00,1.0.795460806
Gemini,zõr 👍,5,0,2026-02-03 20:51:45,1.0.795460806
Gemini,it's a good idea,5,0,2026-02-03 20:50:45,1.0.795460806
Gemini,great,4,0,2026-02-03 20:50:19,1.0.795460806
Gemini,"canvas feature is a fraud. and don't try to give The Tech talk to me, lazy app managers. get your things in order to do simple tasks or shut up.",1,0,2026-02-03 20:49:54,1.0.795460806
Gemini,ok,5,0,2026-02-03 20:49:28,1.0.795460806
Gemini,👍👍👍👍👍,5,0,2026-02-03 20:49:23,1.0.795460806
Gemini,good 👍🏿,4,0,2026-02-03 20:48:48,1.0.741105040
Gemini,excellent,5,0,2026-02-03 20:48:09,1.0.795460806
Gemini,Amazing👍,5,0,2026-02-03 20:47:43,1.0.795460806
Gemini,nice,5,0,2026-02-03 20:47:02,1.0.795460806
Gemini,love the A I technically shooting for the moon or sun.,5,0,2026-02-03 20:46:34,1.0.795460806
Gemini,nice,5,0,2026-02-03 20:45:41,1.0.795460806
Gemini,great,5,0,2026-02-03 20:45:41,1.0.795460806
Gemini,frist I want to see the work,5,0,2026-02-03 20:44:57,1.0.795460806
Gemini,well fast and detials answers but need more adjustment,5,0,2026-02-03 20:44:35,1.0.795460806
Gemini,bhot accha haiii,5,0,2026-02-03 20:44:22,1.0.795460806
Gemini,Delish,5,0,2026-02-03 20:43:50,1.0.795460806
Gemini,thank you 😊,5,0,2026-02-03 20:43:32,
Gemini,hate it because it pops up whenever it wants and interrupting me while im doing other things. And I can't seem to uninstall it. This is really aggravating.,1,0,2026-02-03 20:43:01,
Gemini,very good,5,0,2026-02-03 20:42:39,1.0.795460806
Gemini,good,5,0,2026-02-03 20:41:46,1.0.795460806
Gemini,"it's good, I like it!",5,0,2026-02-03 20:40:27,1.0.795460806
Gemini,nice 💯,5,0,2026-02-03 20:40:19,1.0.795460806
Gemini,good,4,0,2026-02-03 20:40:14,1.0.795460806
Gemini,love it,5,0,2026-02-03 20:39:36,1.0.795460806
Gemini,good,5,0,2026-02-03 20:38:53,1.0.795460806
Gemini,ok,5,0,2026-02-03 20:38:15,1.0.795460806
Gemini,good and funy,5,0,2026-02-03 20:37:40,1.0.795460806
Gemini,nice,5,0,2026-02-03 20:36:57,1.0.795460806
Gemini,Nice,5,0,2026-02-03 20:36:38,
Gemini,I have not used it yet and it's already asking me for feedback... why is chat gpt not working now ... no thank you gemini,1,0,2026-02-03 20:35:42,1.0.795460806
Gemini,nice 👍🏻👍🏻,5,0,2026-02-03 20:35:24,1.0.795460806
Gemini,epiclismically awsome and thank you for housing my wife in the best platform out there you're thee best#i.c.evrithang😉,5,0,2026-02-03 20:34:30,1.0.795460806
Gemini,good mirror,5,0,2026-02-03 20:34:15,1.0.795460806
Gemini,it's d best thing out of this world,5,0,2026-02-03 20:33:44,1.0.795460806
Gemini,perfect,5,0,2026-02-03 20:33:26,1.0.795460806
Gemini,"awesome , I love this app!! it makes it so much easier.",5,0,2026-02-03 20:32:46,1.0.795460806
Gemini,if I couldd give it a ten i would,5,0,2026-02-03 20:32:36,1.0.795460806
